Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	TPA_HF.pEF_U10.1	TPA_HF.pEF_U10.2	TPA_HF.pEF_U11.1	TPA_HF.pEF_U11.2	TPA_HF.pEF_U16.1	TPA_HF.pEF_U16.2	TPA_HF.pEF_U2.1	TPA_HF.pEF_U2.2	TPA_HF.pEF_U24.1	TPA_HF.pEF_U24.2	TPA_HF.pEF_U4.1	TPA_HF.pEF_U4.2	TPA_HF.pEF_U5.1	TPA_HF.pEF_U5.2	TPA_HF.pEF_U8.1	TPA_HF.pEF_U8.2	TPA_HF.pEF_U9.1	TPA_HF.pEF_U9.2	TPA_HF.rEF_U30.1	TPA_HF.rEF_U30.2	TPA_HF.rEF_U34.1	TPA_HF.rEF_U34.2	TPA_HF.rEF_U37.1	TPA_HF.rEF_U37.2	TPA_HF.rEF_U39.1	TPA_HF.rEF_U39.2	TPA_HF.rEF_U42.1	TPA_HF.rEF_U42.2	TPA_HF.rEF_U46.1	TPA_HF.rEF_U46.2	TPA_HF.rEF_U48.1	TPA_HF.rEF_U48.2	TPA_HF.rEF_U53.1	TPA_HF.rEF_U53.2	TPA_Ctrl_U57.1	TPA_Ctrl_U57.2	TPA_Ctrl_U59.1	TPA_Ctrl_U59.2	TPA_Ctrl_U60.1	TPA_Ctrl_U60.2	TPA_Ctrl_U62.1	TPA_Ctrl_U62.2	TPA_Ctrl_U64.1	TPA_Ctrl_U64.2	TPA_Ctrl_U65.1	TPA_Ctrl_U65.2	TPA_Ctrl_U66.1	TPA_Ctrl_U66.2	TPA_Ctrl_U67.1	TPA_Ctrl_U67.2	TPA_Ctrl_U68.1	TPA_Ctrl_U68.2	TPA_Ctrl_U71.1	TPA_Ctrl_U71.2
"Q08174;Q08174-2;D6RAX3;D6RBG2;H0Y9F5"	"Q08174;Q08174-2;D6RAX3"	"9;9;5;4;1"	"9;9;5;4;1"	"9;9;5;4;1"	Protocadherin-1	PCDH1	0.539365284	0.882662552	0	0	0.144123565	0	1.897922278	1.89954369	0.957614978	1.123943465	0.762694811	1.314680296	0.308139468	0.211366475	0.323707535	0.220576248	0	0	0.953687178	0.479274226	2.008613966	2.903466257	0.679449043	0.759530525	2.02610844	1.13486669	0.273473547	0.985984658	0	0	0.722854186	0.751635829	0.690567829	0.642228583	0.937679973	1.659905322	0	0	2.608935404	1.551521788	0.380702481	0.487564697	0.168874529	0	1.057452675	1.555933062	0.635092584	0.720542314	2.408350094	0.494642168	0.904818115	0.391033284	0	0.117493893
"P17813;P17813-2;F5GX88"	"P17813;P17813-2"	"4;4;1"	"4;4;1"	"4;4;1"	Endoglin	ENG	0.712657026	0.849892542	0.204649118	0.201224382	0.099917694	0	0.768941272	0.74109901	0.621925893	0.579631844	0.346729717	0.401342955	0	0	0.705529483	0.717617723	0	0	1.042628859	0.481900515	1.080523361	1.186623838	0.845058259	0.908933273	1.942008242	0.685439885	0.787397488	0.832611859	0	0	0.733542459	0.569773758	0.742609402	0.507369869	0.789160494	1.107318852	0	0	1.083719036	0.702753519	0	0	0	0	0.42066387	0.921287403	0	0.43620469	0	0.30497449	0	0.446037788	0.531585006	0.310618205
"CON__P08729;CON__Q3KNV1;CON__Q9DCV7"	"CON__P08729;CON__Q3KNV1"	"18;18;7"	"13;13;3"	"0;0;0"		"CON__P08729;CON__Q3KNV1"	0	0.46197308	1.605244559	0.618810015	0	0.326276455	0.893172595	0.707563402	0	2.986926589	0	0	4.901222706	4.665391911	8.944251412	10.03072553	4.345811435	6.191710294	1.914094776	2.644471799	0.517911511	0.476354425	5.41490329	7.591589521	0	0	3.078302651	0.992906706	1.496059476	0.971101795	0.453629404	0.117936528	0.72176035	0.892890403	0	0	0	0	0.731884204	0.922245982	0	0.258700741	0	0	0.946875564	0.768269031	0	0.246234137	1.541781183	0.482278493	0	0	0.827444203	0.842404241
"H3BN26;A0A087WYL5;Q6UXD5-4;Q6UXD5-6;Q6UXD5-2;Q6UXD5-3;Q6UXD5-5;Q6UXD5"	"H3BN26;A0A087WYL5;Q6UXD5-4;Q6UXD5-6;Q6UXD5-2;Q6UXD5-3;Q6UXD5-5;Q6UXD5"	"2;2;2;2;2;2;2;2"	"2;2;2;2;2;2;2;2"	"2;2;2;2;2;2;2;2"	Seizure 6-like protein 2	SEZ6L2	0	1.319143872	0	0	0.486909443	0.630899894	1.618280653	1.56775446	0.843253217	0	0.576550542	0.807586111	1.283044188	0.923326878	1.701019689	1.551053417	0	2.096143847	2.448005146	2.013589244	1.771840249	1.947052383	1.580793579	1.702806457	2.769907622	1.787396094	1.316179055	1.442603989	0	0	1.214268987	1.299873345	1.449993105	1.017833733	0	1.61083875	0	0	0	0	0	0	0	0	1.370189655	2.289980932	0	0	0	0	0	0.512574376	1.384460884	1.425520951
"Q01518;Q5T0R7;Q5T0R6;Q5T0R5;Q5T0R4;Q5T0R3;Q5T0R2;Q5T0R1;Q5T0R8;Q5T0S3"	"Q01518;Q5T0R7;Q5T0R6;Q5T0R5;Q5T0R4;Q5T0R3;Q5T0R2;Q5T0R1"	"11;7;7;7;7;7;7;7;2;2"	"11;7;7;7;7;7;7;7;2;2"	"1;1;1;1;1;1;1;1;0;0"	"Adenylyl cyclase-associated protein 1;Adenylyl cyclase-associated protein"	CAP1	1.387897061	2.211242819	13.55304062	14.5105125	0	0.182570664	0.421242874	0.687618016	0.288224936	0.299910349	0.222759195	0	0	0.421731173	2.413282724	2.470101454	0	0	3.549074708	2.62653444	0	0.743474807	1.325629441	2.551767488	0	0	5.696112468	6.725613315	2.055473961	2.703100178	1.247592822	1.024552349	5.640961792	6.228666727	0.442282522	1.156161544	0	0	7.951195163	4.309824068	0.949768485	1.22296907	1.036962442	2.227914297	3.24400635	4.747940267	3.024033559	4.266842686	9.082807715	3.011486988	2.865708968	55.86136647	8.57967205	6.683300126
"P04080;A0A1W2PS52;A0A1W2PQG6"	"P04080;A0A1W2PS52"	"5;3;1"	"5;3;1"	"5;3;1"	Cystatin-B	CSTB	9.408963121	17.14587737	109.8730344	103.0646527	0	2.315627752	4.831263937	6.116827774	0	0	1.190324138	1.860734795	0	0	3.129881042	4.712985177	12.66126072	13.29574395	7.274693991	6.270757509	7.503173927	6.84525809	9.998075258	7.204758217	0	0	76.50314901	91.76876683	11.00703431	11.90388599	0	4.765767957	81.24992473	78.22882653	2.64244557	0	0	0	78.46382562	20.24225128	6.544956924	7.338806831	3.938430249	5.850035125	22.58801546	31.3010354	33.90926279	24.03617129	71.29807511	82.64796305	0	4.813105523	4.889598187	3.980263501
"P09972;K7EKH5;J3KSV6;J3QKP5;A8MVZ9;C9J8F3"	"P09972;K7EKH5;J3KSV6;J3QKP5;A8MVZ9;C9J8F3"	"4;3;3;3;3;2"	"3;3;3;3;3;2"	"3;3;3;3;3;2"	"Fructose-bisphosphate aldolase C;Fructose-bisphosphate aldolase"	ALDOC	0.834375477	0.958523266	4.872154617	4.653133983	0	0	0.967826615	1.326095524	0.318905375	0	0	0.509138956	0	0.509907357	1.44916884	1.517600058	0.970317481	1.082082438	0	1.126614618	2.103003602	1.532241466	3.14832067	3.285759713	0	0	4.134728759	4.79951471	1.494895618	1.592944878	1.212879284	1.817443358	4.216902077	4.229196675	0	0	0.939927963	2.905536149	4.658929306	1.617036579	0	0	0	0	2.251643706	1.98281348	2.013684104	1.519115618	9.418653638	2.309318355	2.279532071	2.268616894	1.95644276	1.563023142
"P30039-2;P30039;A0A0C4DFS0;V9GY00"	"P30039-2;P30039;A0A0C4DFS0"	"6;6;5;2"	"6;6;5;2"	"6;6;5;2"	Phenazine biosynthesis-like domain-containing protein	PBLD	3.102892081	3.006757647	2.075037352	1.681283645	0	0.261779151	0	1.808143382	1.255084247	0.881959342	0.604004637	0.602397843	1.48309029	0	2.297296006	2.471923874	0	0	0.554147395	0.488754793	0.49539816	2.090284935	2.661269338	1.934408455	0.850699461	0.81483475	0.726464353	0.984711382	1.013393053	0	0.594331279	0.892857474	0	0	0	1.657834645	0	0.706900956	5.987587774	2.463521008	0	0.591281484	0	0	0	1.093525185	0.580923493	0.669917652	0	0	1.10146763	0.928643482	1.046618726	1.020417072
"Q8IWU5-2;Q8IWU5"	"Q8IWU5-2;Q8IWU5"	"3;3"	"3;3"	"3;3"	Extracellular sulfatase Sulf-2	SULF2	1.283523225	0	0	0	0	0	6.858568296	6.90766431	4.113303005	3.873197868	1.631600756	2.340300795	14.14587223	13.14046902	1.5403636	1.338802719	2.772238729	2.791920673	3.413336867	2.492001833	22.35948746	5.309569523	2.15086101	0	0	4.741850717	9.052793973	10.12833227	0	0.929390657	5.499797455	7.036773669	8.957721465	9.509759092	12.74409836	21.29213967	0	0	0	0	0	0	0.870970908	1.41088917	0.554239991	0	0	0	0	2.666358457	1.612410879	1.050132341	1.001864546	0.812353556
"A0A087WY55;Q9NP79;Q5TGM0;Q9NP79-2"	"A0A087WY55;Q9NP79;Q5TGM0;Q9NP79-2"	"5;5;3;3"	"5;5;3;3"	"5;5;3;3"	Vacuolar protein sorting-associated protein VTA1 homolog	VTA1	2.362453486	2.895333891	1.557716169	1.677336997	0.573731939	0.496409051	0	0	1.875642615	1.876874333	0.736563041	0	0	0	4.023794716	4.084803601	2.880131362	3.516204062	1.281179548	0	1.446688969	1.847917217	1.642161503	1.518863766	0	1.956886722	2.1317054	0	2.506213522	2.710442167	1.451284878	1.588886423	2.008841125	0	0	0	0.516689419	0	20.01501261	8.196504199	1.984919722	1.745135342	0.396628101	0	5.394620948	6.482825985	1.111307698	1.218627617	6.935148661	1.709074899	0.754350312	0.663935925	1.675971643	1.150828546
"A0A0A0MT71;Q6UX73-2;Q6UX73"	"A0A0A0MT71;Q6UX73-2;Q6UX73"	"5;5;5"	"5;5;5"	"5;5;5"	UPF0764 protein C16orf89	C16orf89	0.26589012	0.496176477	0	0.177252672	0	0	0.595095803	0.618893335	1.819473851	0.978685559	0.266754902	0	0.778425943	0.630674784	0.7767966	0	0.481678827	0.613390258	1.255685284	0.887895625	2.74033018	0.913343803	0.448175891	0.423337621	0.499992498	0	0.345535582	0	1.872262981	1.09555471	0.485585582	0.57255382	0	0	2.633180391	4.011543554	0	0	1.673142895	0.766758536	1.770871346	2.740972717	0	0	1.181790249	1.423122049	0.219097028	0.282610357	2.264578951	0.419930097	0	0	0	0.169106303
"A0A0G2JNH7;O15197-3;O15197;F8WCM8;A0A087WTE3;A0A0G2JNC5;O15197-2;J3KQU5"	"A0A0G2JNH7;O15197-3;O15197;F8WCM8"	"7;7;7;6;2;2;2;1"	"7;7;7;6;2;2;2;1"	"7;7;7;6;2;2;2;1"	Ephrin type-B receptor 6	EPHB6	0.31086436	0.291061837	0	0	0.367075635	0	0.819993859	0.958129492	0	0.25114067	0.305538716	0.63639923	0.771964505	0.487983195	0.573557377	0.408354214	0	0.614815495	0.706912164	0.44915006	0.313499681	0.539261654	0.558835458	0.616906552	0.559960963	0.540728554	0	1.516617508	0.472154941	0	0.413370567	0.423769961	0	0	0.511601502	0.642014235	0	0.902231677	0.659717359	0.245860805	0	0.383331708	0	0	1.025369612	0.710616882	0	1.017460611	0	0.172607638	1.18288231	0	0.417784933	0.346022069
"M0R2E9;M0R0H5;M0QYR6;M0R1I2;Q03405-2;Q03405-3;Q03405;M0QX27;M0R0Y4;M0QYS6"	"M0R2E9;M0R0H5;M0QYR6;M0R1I2;Q03405-2;Q03405-3;Q03405;M0QX27;M0R0Y4"	"4;4;4;4;4;4;4;2;2;1"	"4;4;4;4;4;4;4;2;2;1"	"4;4;4;4;4;4;4;2;2;1"	Urokinase plasminogen activator surface receptor	PLAUR	0	3.509729162	1.355633521	0	0	0	6.915344856	7.041235138	1.064772832	0.790291184	3.028135127	4.365278245	0	4.115823719	2.937942035	1.848089147	3.335049723	3.885070539	0	2.676575617	2.256819121	2.484761601	1.712660048	3.02496039	5.0874503	6.047098978	5.632654326	5.910109448	0	0	1.472356927	0	4.43192473	4.305729789	1.969945233	2.428446516	0	0	7.598885039	2.844456888	0	3.584066309	2.626859024	0	0	3.514815112	2.692143435	2.860137461	0	1.263041258	0.842804357	0	7.626547449	0
"O00115-2;O00115;A0A8V8TNK3;K7ENE5"	"O00115-2;O00115;A0A8V8TNK3;K7ENE5"	"5;5;3;3"	"5;5;3;3"	"5;5;3;3"	Deoxyribonuclease-2-alpha	DNASE2	0	1.100381162	0	0	0	0.62015783	2.445759276	2.578640918	2.51102507	1.730314824	1.217335536	1.7409204	1.305716238	1.646083853	2.305753339	2.440955355	1.018956375	0	2.883475781	1.378485184	5.182598357	4.366576442	1.727506561	2.709448079	4.857849142	2.483638032	0.926415175	0	0	0	1.67943728	1.516250749	1.053179319	0	1.10489303	1.506086604	0	0.941933009	0	2.787424646	0	0	1.351035303	1.349150512	1.39126765	1.680029285	0	1.068443224	0	0	0.907635197	1.699975184	0	1.411546657
"Q15274;H3BP73"	Q15274	"7;1"	"7;1"	"7;1"	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	QPRT	3.805046974	4.146248397	2.286244404	1.659349568	0	0.211062461	0	1.51242301	0	0.712468409	3.046653925	5.732584444	0.909637668	0	3.425762793	3.301911018	0.858369159	0	0.986770581	0	2.178039804	2.374370712	1.989642003	2.196153974	5.416330652	3.725868693	0	0.243190129	0	0.870034291	2.253051733	2.185450324	0.383787157	0	0	1.991931998	0	0	3.009364532	1.667670611	0	0.373586501	0	0	0.184732823	0.180825661	0.854089397	1.976191056	0	0	3.520344314	2.33154234	1.151232658	0.905670436
"P30048-2;P30048"	"P30048-2;P30048"	"4;4"	"4;4"	"4;4"	Thioredoxin-dependent peroxide reductase, mitochondrial	PRDX3	0.865850963	0.444549496	2.321364638	2.254685662	0	0	13.09023995	14.6535109	0	0	6.369366578	0	14.22751185	14.17987837	6.596063803	6.480883796	0.604867969	21.80447501	0	0	10.23242864	11.21124469	9.231322998	9.772695926	16.11413812	9.555376886	5.921776956	6.304921208	0	0	7.4069127	7.180087104	5.351152159	5.335266691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.827389757	0	0	0	2.934284385	2.718066306
CON__P20930	CON__P20930	13	13	0		CON__P20930	0.274787222	0.350578128	0.104962923	0.101120606	0	0	0.037504237	0.04660654	0	0.015466241	0.281055346	0.456981654	0.044612788	0	0.397711833	0.552399745	0	0.026726648	0.042490399	0.035132158	0	0	0.265228601	0.286997027	0	0	0.180543582	0.142903904	0.203172954	0.216376046	0	0.014025456	0.155251199	0.162214895	0	0.037896463	0	0	0.429134541	0.33018584	0.104755932	0.09294878	0	0	0	0.191971551	0.14677645	0.134241775	0.462074862	0.135839709	0.368613047	0.170386743	0.031762785	0.01734915
"A0A7I2V599;A0A7I2V2X6;P10809;A0A7I2YQK6;A0A7I2V5M1;A0A7I2V5K3;A0A7I2YQ71;A0A7I2V369;E7ESH4;C9JL25;E7EXB4;P10809-2;C9JL19;C9JCQ4"	"A0A7I2V599;A0A7I2V2X6;P10809;A0A7I2YQK6;A0A7I2V5M1;A0A7I2V5K3;A0A7I2YQ71;A0A7I2V369"	"10;10;10;9;7;6;6;6;3;2;2;2;1;1"	"10;10;10;9;7;6;6;6;3;2;2;2;1;1"	"10;10;10;9;7;6;6;6;3;2;2;2;1;1"	60 kDa heat shock protein, mitochondrial	HSPD1	0.590641433	0.785523166	2.739815429	2.710672769	0	0	0	0.226845883	0	0	0.069203532	0.317703466	1.462559335	0.958012338	6.255934114	5.938316279	0.212710814	0.413077085	0	0.296738177	0.430223301	0	0.517983376	0.451175051	0	0	0.82804409	0.724563443	0	0.412357978	0.588012754	0.685009998	0.702753838	0.760364367	0	0	0	0	2.679938717	1.191734996	0	0	0	0	0.364497862	0.694300072	1.65634462	1.408639216	0	0.47256958	0.552415388	0.863896219	4.115095774	3.944955107
"Q9HB40;Q9HB40-2;I3L4Z9;I3L506;I3L4Z3"	"Q9HB40;Q9HB40-2"	"5;3;2;1;1"	"5;3;2;1;1"	"5;3;2;1;1"	Retinoid-inducible serine carboxypeptidase	SCPEP1	2.77107152	3.282127749	1.748645398	1.64675925	0	0.293793822	0	1.278000792	1.143228354	1.14422907	0	0	0	1.434352633	3.318913495	3.767915189	2.585818791	3.816349299	0	0	0	2.061077145	1.414142629	1.377158146	0	0.772173582	1.23941848	2.529761654	0.899827149	0	0.685958776	1.025950586	0	2.167579927	0	1.893192895	1.178013894	2.85339778	7.140693646	8.452878425	2.214804308	2.031363959	1.148911351	1.931282484	3.852405225	4.216285259	1.333094275	0.485394056	2.123799257	0.264145337	3.19691204	2.016912795	2.667979661	2.157377643
"J3KS52;Q8TDQ1-3;Q8TDQ1-4;Q8TDQ1-2;Q8TDQ1-5;Q8TDQ1;Q8TDQ1-6"	"J3KS52;Q8TDQ1-3;Q8TDQ1-4;Q8TDQ1-2;Q8TDQ1-5;Q8TDQ1;Q8TDQ1-6"	"2;2;2;2;2;2;2"	"2;2;2;2;2;2;2"	"2;2;2;2;2;2;2"	CMRF35-like molecule 1	CD300LF	1.634122123	2.314625013	0	0	2.28861158	2.046055888	3.234344435	3.431378115	0.135491945	0.825590709	3.066752317	4.631518354	1.261009225	1.502969317	0	0	2.880461816	0	0	1.042779483	2.335251514	4.400099121	2.649764773	2.769815158	6.541848969	3.934390192	2.59138164	0	0	0	0	1.09114594	0	2.700924105	0	0	1.038569178	3.439289144	4.231502474	1.681775802	0	0	0	0	0	2.10308769	2.253622662	2.310977636	0	0	1.05344967	1.219872718	0	0
"P24752;A0A5F9ZHL1;A0A5F9ZHJ7;A0A5F9ZHJ0;A0A5F9ZHD4;A0A5F9ZI66;A0A5F9ZHH9;H0YEL7;P24752-2;A0A5F9ZHL7;E9PRQ6"	"P24752;A0A5F9ZHL1;A0A5F9ZHJ7;A0A5F9ZHJ0;A0A5F9ZHD4;A0A5F9ZI66;A0A5F9ZHH9"	"11;10;9;8;7;7;6;5;4;3;3"	"11;10;9;8;7;7;6;5;4;3;3"	"11;10;9;8;7;7;6;5;4;3;3"	Acetyl-CoA acetyltransferase, mitochondrial	ACAT1	0.764902758	0.817882943	1.452598785	0.853472273	0.140536595	0	0.580619697	0.380673517	0	0	0.172899061	0	1.076545769	0.906858511	0.699664084	0.7767658	0	0.399517017	0.525996491	0.316873079	0.597974973	0.757570797	0.436732301	0.42901149	0	0	0	0	0	0	0.790485137	0.843624691	0	0.461354695	0.466212195	0.517016088	0	0	2.540739739	1.304732046	0.29323667	0	0	1.306460174	0.655682966	1.05248493	0.330915102	0.385084243	0	0.379252278	0.554517069	0.366412379	12.53397829	10.85380593
O43866	O43866	3	3	3	CD5 antigen-like	CD5L	1.311136765	1.583888116	0.902633849	0.928907714	0	0.446837501	0	0.847679294	0.534703602	0	0.754532198	1.073214646	2.065976978	1.892539777	0	0	1.518420576	1.50426668	2.111412668	0	2.043531065	0	1.585448433	1.693404028	0	0	1.782218552	2.147383719	0	0	0	0	1.762010864	1.769895852	1.139488631	1.7642247	0	0	2.852707707	1.101405592	0.345872399	0	0.786450045	1.213499937	1.250261939	1.609973056	0.551560357	0	3.075072958	0.446414306	0.844765548	0.901523162	1.083750461	0.878625388
"P49788;P49788-2"	"P49788;P49788-2"	"5;4"	"5;4"	"5;4"	Retinoic acid receptor responder protein 1	RARRES1	0	0.283097841	0	0	0	0.373944922	4.48726533	2.573141679	0.474140223	0.456884184	1.257741303	4.827950676	0.300826389	0	6.695373913	5.362714531	1.119689821	4.034164838	0	0	0	0	0.941444227	4.252470951	1.135880508	1.220961398	0.824885426	0.455741298	0	0	1.859272812	2.581265531	0	0	0	1.066822246	0	0	2.749439023	0	0	0	0.533660758	1.430848445	0.348581002	0.380865334	1.799810768	1.497237896	0	0	0	0	5.750186722	3.850206369
"Q9UBG0;J3KRF1;E7EME3"	Q9UBG0	"5;1;1"	"5;1;1"	"5;1;1"	C-type mannose receptor 2	MRC2	0.251652433	0.3247239	0	0	0	0	4.373638931	4.403502548	0.375609061	0.474244109	3.608944345	5.176834942	1.016493159	0.900879488	1.102765299	1.152510521	4.273282706	0	0.823227808	0.53254749	0	0	0	0	1.715975473	1.007346135	0	0	1.450570074	1.536740689	0.420450023	0.163597061	0	0	0	0.478461301	0	0	0.526333037	0	0.238333725	0.212728469	0	0	0.178034623	0.200864859	0	0.149462671	0	0	0	0	0.179638404	0
"A0A8V8TQS1;V9GYE7;A0A3B3IQ51;P36980-2;P36980;A0A3B3ISW6;A0A8V8TPL2;A0A3B3IRW0;A0A3B3IS00;A0A3B3IS28"	"A0A8V8TQS1;V9GYE7;A0A3B3IQ51;P36980-2;P36980;A0A3B3ISW6;A0A8V8TPL2;A0A3B3IRW0;A0A3B3IS00"	"6;6;6;6;6;5;4;3;3;2"	"3;3;3;3;3;3;1;2;2;2"	"3;3;3;3;3;3;1;2;2;2"	Complement factor H-related protein 2	CFHR2	1.681422346	0	3.063990213	3.026629973	1.457868771	0	4.645718195	0	2.594555049	3.026106183	2.756754349	0	8.561662491	8.108838113	2.770109237	3.092264349	0	6.220238343	0	0.980340521	4.553635959	0	0	0.468266827	5.626175078	2.490600515	0	0	0	0	0	1.825522408	0	4.478184321	0	0	0	0	43.99965072	15.43294411	0	0	0	0	2.294673837	2.365287345	6.11623514	0	0	0	2.262096354	0	0	3.51456356
P29966	P29966	2	2	2	Myristoylated alanine-rich C-kinase substrate	MARCKS	0	0	1.381551763	1.361217814	0.116099664	0.107393295	0	0.472406596	0	0.30440213	0.295352464	0.490500501	0.674828139	0	0.478356529	0.489931307	0.890155923	0.942601247	0	0	0	0	0	0	0	0	0.975727032	1.193151718	0.876461196	0	0	0	1.098564532	1.177041436	0	0	0	0	0	0.874249493	0	0	0	0	0.83680239	1.06707155	0	0.392536978	0	0	0	0	0.559045027	0
P62805	P62805	7	7	7	Histone H4	HIST1H4A	11.73370937	13.40331889	306.6904034	297.0516919	14.04120897	13.1244474	0	0	6.919436422	6.571402892	0	5.429893981	0	5.557848307	19.94513387	34.02474859	6.801157457	14.30089148	43.8423734	40.32460485	13.36833367	6.032748732	13.56334513	17.62496927	7.488930524	5.704568506	88.94854315	98.37971278	217.7656202	214.4535737	11.50088227	10.18358726	77.26968484	92.97196356	13.06703939	12.61526707	28.41523349	36.11376243	62.38901386	34.38798564	23.03137946	14.13970197	35.44855905	55.12114421	53.17205284	64.0826675	58.9253177	50.80617751	98.07450365	154.4534824	140.3094902	144.2860529	152.2812957	116.642749
"P08582;A0A8Q3WLY9;P08582-2;C9JVN1"	"P08582;A0A8Q3WLY9"	"14;11;5;2"	"14;11;5;2"	"14;11;5;2"	Melanotransferrin	MFI2	0.476182856	0.539128588	0.222973096	0.334960932	0.394679959	0.308942522	1.837033992	2.189310901	0.98417958	1.451186	0.115195868	0.168985824	0	0	2.2752526	1.149447013	0	0	4.485720234	3.198669223	4.63447711	5.955984786	1.22052168	1.286262528	4.496489913	3.876391069	0.711458017	0.939398579	1.709009295	2.125907458	1.895243714	1.758848723	0.919433624	0.968083917	1.611652833	2.756511741	0.260409853	0	4.896441994	3.240985356	0.47576233	0.48152981	0.164651562	0.221711955	4.701591858	6.282071463	1.197906017	0.721050266	3.449693898	1.509044424	0.249079726	0.523551717	1.620126085	1.362301717
"Q92896;Q92896-3;Q92896-2;H3BM42;H3BRD8;H3BQU9"	"Q92896;Q92896-3;Q92896-2;H3BM42"	"13;13;13;7;1;1"	"13;13;13;7;1;1"	"13;13;13;7;1;1"	Golgi apparatus protein 1	GLG1	0.157949299	0	0.153278468	0	0.078708438	0.104488718	0.435681614	0.68706342	1.090679524	0.88284152	0	0	0.237718087	0.416215735	0.257905945	0.230913896	0.319141294	0.313764604	0.391478504	0.44572012	1.049104986	1.374718816	0.703611359	0.756661698	0.392538118	0.228360343	0.308407006	0.366163174	0.292320796	0.501703739	0.865167395	0.627300574	0.317049242	0.531795212	0.238112606	0.445308363	0.084398219	0.343450576	1.774875651	0.83554049	0.097757283	0	0.156071041	0.534896172	0.554271493	0.907298737	0.132763277	0.144977585	0	0.111759191	0	0	0.143443209	0.065886568
"P05023-3;P05023-4;P05023;P05023-2;M0R116;B1AKY9;A0A2R8YEY8;A0A0A0MT26;P13637;P50993;P13637-2;P13637-3;H0Y7C1;M0QXF2;P20648"	"P05023-3;P05023-4;P05023;P05023-2;M0R116;B1AKY9;A0A2R8YEY8;A0A0A0MT26;P13637;P50993;P13637-2;P13637-3"	"8;8;8;5;4;4;4;4;4;4;4;4;3;1;1"	"8;8;8;5;4;4;4;4;4;4;4;4;3;1;1"	"6;6;6;4;2;2;2;2;2;2;2;2;1;1;1"	"Sodium/potassium-transporting ATPase subunit alpha-1;Sodium/potassium-transporting ATPase subunit alpha-3;Sodium/potassium-transporting ATPase subunit alpha-2"	"ATP1A1;ATP1A3;ATP1A2"	0.146406841	0	0.441373147	0.414107707	0.097244268	0.091509717	1.003973812	1.138124651	0.305390077	0.366074311	0	0.172684372	0.340203169	0.231462249	0.748498128	1.067136325	0	0	0.296107577	0.461405395	0.998423368	0.887477758	0.479257878	0.472118267	0.73556891	0.355824732	0.356465387	0.645388662	0.818998822	0.839708848	0.955291732	1.147816095	0.224467112	0.390872376	0.558426136	0.824064682	0.072642504	0	1.803484169	0.918866098	0	0	0.153887945	0	0.526020751	0.759794309	0.284520935	0.191384959	0.59078288	0.19490656	0.243895023	0.229905613	0.665118697	0.694056895
"P34896-2;P34896;P34896-4;P34896-3;J3KRZ5"	"P34896-2;P34896;P34896-4;P34896-3"	"7;7;5;5;2"	"7;7;5;5;2"	"7;7;5;5;2"	Serine hydroxymethyltransferase, cytosolic	SHMT1	4.256516819	3.425249721	3.969054943	4.098193275	0	0	1.309000188	0.724731995	1.740882638	1.623099933	0.881803747	1.398271114	1.620507573	1.05108296	5.007481587	5.178349652	0	0	0.676177542	0.38758539	1.150419475	0.83680865	4.301523925	4.475246125	1.879581875	0.905600151	1.398432953	1.773973443	1.150368041	1.146366449	1.888929328	1.331526113	1.177057996	1.439703329	1.691506212	2.006269465	0	0	9.025164098	3.516262469	0.283531775	0	0	0.288428734	1.003510984	2.079670016	1.125568996	1.028965725	3.034516343	0.673815922	2.133596793	2.366517866	1.689233175	1.815225194
"O75131;A0A087WYQ3;A0A087WUS8;A0A087WXR6;E5RHZ0;H0YB26;E5RFT7"	O75131	"9;4;3;3;3;3;1"	"9;4;3;3;3;3;1"	"8;4;3;3;3;3;1"	Copine-3	CPNE3	1.669498972	1.595988132	7.109360177	5.639183787	0	0	0.714117369	0.487797998	0.818591138	1.10840092	0.188011511	0.510422716	0	0	0.685873649	0.74122196	0.455560728	0.785092665	0.955776559	0.679733095	0.73564618	0.445373471	0.589699297	0.643696864	1.322156995	0.576698137	1.914711436	3.160936058	1.925412406	2.029144689	0.796247489	0.471352101	2.397854819	2.773001686	0.32746454	0.606978296	0	0.955938476	4.267775372	1.387046371	0	0	0	0	1.435045716	1.882454828	0.741752107	0.608332511	8.070066499	2.057046508	1.225992674	1.441239998	1.958298004	1.672458837
